"feature_name","feature_level","module","definition","unit","required_inputs","temporal_direction","generated_by","notes"
"T2M","Level 1 raw weather","raw_weather","Daily mean 2 m air temperature.","degree C","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"T2M_MAX","Level 1 raw weather","raw_weather","Daily maximum 2 m air temperature.","degree C","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"T2M_MIN","Level 1 raw weather","raw_weather","Daily minimum 2 m air temperature.","degree C","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"T2MDEW","Level 1 raw weather","raw_weather","Daily mean 2 m dew point temperature.","degree C","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"PRECTOTCORR","Level 1 raw weather","raw_weather","Daily corrected precipitation total.","mm day-1","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"RH2M","Level 1 raw weather","raw_weather","Daily mean 2 m relative humidity.","%","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"WS2M","Level 1 raw weather","raw_weather","Daily mean wind speed, stored under UFEED compatibility name WS2M.","m s-1","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"WD2M","Level 1 raw weather","raw_weather","Daily mean meteorological wind direction (0 = North, 90 = East, 180 = South, 270 = West).","degrees","weather download or user-supplied weather","daily observation","download functions or local weather input","Source depends on weather_data_source: NASA POWER for power; Open-Meteo dominant direction with POWER fallback for power_open_meteo; ERA5-Land daily mean 10 m U/V-derived direction for power_ee."
"WS2M_MAX","Level 1 raw weather","raw_weather","Daily maximum wind speed, stored under UFEED compatibility name WS2M_MAX.","m s-1","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"WS2M_MIN","Level 1 raw weather","raw_weather","Daily minimum wind speed, stored under UFEED compatibility name WS2M_MIN.","m s-1","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"PS","Level 1 raw weather","raw_weather","Daily surface pressure; Open-Meteo hPa/mbar values are converted to kPa.","kPa","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"ALLSKY_SFC_SW_DWN","Level 1 raw weather","raw_weather","Daily all-sky surface shortwave radiation downward.","MJ m-2 day-1","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"ALLSKY_SFC_LW_DWN","Level 1 raw weather","raw_weather","Daily all-sky surface longwave radiation downward.","source dependent","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"ALLSKY_SFC_PAR_TOT","Level 1 raw weather","raw_weather","Daily all-sky photosynthetically active radiation total.","source dependent","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"GWETROOT","Level 1 raw weather","raw_weather","Root-zone/deeper soil wetness proxy from the selected weather source.","dimensionless/source dependent","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"GWETTOP","Level 1 raw weather","raw_weather","Topsoil wetness proxy from the selected weather source.","dimensionless/source dependent","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"TSOIL1","Level 1 raw weather","raw_weather","Near-surface soil temperature proxy.","degree C","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"TSOIL3","Level 1 raw weather","raw_weather","Deeper soil temperature proxy.","degree C","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"EVPTRNS","Level 1 raw weather","raw_weather","Evapotranspiration/land evaporation compatibility variable; NASA POWER uses EVLAND and Open-Meteo uses et0_fao_evapotranspiration_sum.","mm day-1/source dependent","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"CLOUD_AMT","Level 1 raw weather","raw_weather","Daily cloud amount.","%","weather download or user-supplied weather","daily observation","download functions or local weather input",""
"bdod_<depth>","Level 1 raw soil","raw_soil","Bulk density of fine earth.","cg cm-3 raw SoilGrids scale","lon, lat","static","UFEED_get_soil_features","Depths: 0_5cm, 5_15cm, 15_30cm, 30_60cm, 60_100cm, 100_200cm. Hyphens are cleaned to underscores in output column names. Units/scaling should be audited before hydraulic derivations."
"cec_<depth>","Level 1 raw soil","raw_soil","Cation exchange capacity.","mmol(c) kg-1 raw SoilGrids scale","lon, lat","static","UFEED_get_soil_features","Depths: 0_5cm, 5_15cm, 15_30cm, 30_60cm, 60_100cm, 100_200cm. Hyphens are cleaned to underscores in output column names. Units/scaling should be audited before hydraulic derivations."
"cfvo_<depth>","Level 1 raw soil","raw_soil","Coarse fragments volumetric content.","cm3 dm-3 raw SoilGrids scale","lon, lat","static","UFEED_get_soil_features","Depths: 0_5cm, 5_15cm, 15_30cm, 30_60cm, 60_100cm, 100_200cm. Hyphens are cleaned to underscores in output column names. Units/scaling should be audited before hydraulic derivations."
"clay_<depth>","Level 1 raw soil","raw_soil","Clay content.","g kg-1 raw SoilGrids scale","lon, lat","static","UFEED_get_soil_features","Depths: 0_5cm, 5_15cm, 15_30cm, 30_60cm, 60_100cm, 100_200cm. Hyphens are cleaned to underscores in output column names. Units/scaling should be audited before hydraulic derivations."
"nitrogen_<depth>","Level 1 raw soil","raw_soil","Total nitrogen.","cg kg-1 raw SoilGrids scale","lon, lat","static","UFEED_get_soil_features","Depths: 0_5cm, 5_15cm, 15_30cm, 30_60cm, 60_100cm, 100_200cm. Hyphens are cleaned to underscores in output column names. Units/scaling should be audited before hydraulic derivations."
"ocd_<depth>","Level 1 raw soil","raw_soil","Organic carbon density.","dg dm-3 raw SoilGrids scale","lon, lat","static","UFEED_get_soil_features","Depths: 0_5cm, 5_15cm, 15_30cm, 30_60cm, 60_100cm, 100_200cm. Hyphens are cleaned to underscores in output column names. Units/scaling should be audited before hydraulic derivations."
"phh2o_<depth>","Level 1 raw soil","raw_soil","Soil pH in water.","pH x 10 raw SoilGrids scale","lon, lat","static","UFEED_get_soil_features","Depths: 0_5cm, 5_15cm, 15_30cm, 30_60cm, 60_100cm, 100_200cm. Hyphens are cleaned to underscores in output column names. Units/scaling should be audited before hydraulic derivations."
"sand_<depth>","Level 1 raw soil","raw_soil","Sand content.","g kg-1 raw SoilGrids scale","lon, lat","static","UFEED_get_soil_features","Depths: 0_5cm, 5_15cm, 15_30cm, 30_60cm, 60_100cm, 100_200cm. Hyphens are cleaned to underscores in output column names. Units/scaling should be audited before hydraulic derivations."
"silt_<depth>","Level 1 raw soil","raw_soil","Silt content.","g kg-1 raw SoilGrids scale","lon, lat","static","UFEED_get_soil_features","Depths: 0_5cm, 5_15cm, 15_30cm, 30_60cm, 60_100cm, 100_200cm. Hyphens are cleaned to underscores in output column names. Units/scaling should be audited before hydraulic derivations."
"soc_<depth>","Level 1 raw soil","raw_soil","Soil organic carbon.","dg kg-1 raw SoilGrids scale","lon, lat","static","UFEED_get_soil_features","Depths: 0_5cm, 5_15cm, 15_30cm, 30_60cm, 60_100cm, 100_200cm. Hyphens are cleaned to underscores in output column names. Units/scaling should be audited before hydraulic derivations."
"ocs_<depth>","Level 1 raw soil","raw_soil","Soil organic carbon stock.","t ha-1 raw SoilGrids scale","lon, lat","static","UFEED_get_soil_features","Depths: 0_30cm. Hyphens are cleaned to underscores in output column names. Units/scaling should be audited before hydraulic derivations."
"wv0010_<depth>","Level 1 raw soil","raw_soil","Volumetric soil water content at 10 kPa suction.","10^-2 cm3 cm-3 raw SoilGrids scale","lon, lat","static","UFEED_get_soil_features","Depths: 0_5cm, 5_15cm, 15_30cm, 30_60cm, 60_100cm, 100_200cm. Hyphens are cleaned to underscores in output column names. Units/scaling should be audited before hydraulic derivations."
"wv0033_<depth>","Level 1 raw soil","raw_soil","Volumetric soil water content at 33 kPa suction.","10^-2 cm3 cm-3 raw SoilGrids scale","lon, lat","static","UFEED_get_soil_features","Depths: 0_5cm, 5_15cm, 15_30cm, 30_60cm, 60_100cm, 100_200cm. Hyphens are cleaned to underscores in output column names. Units/scaling should be audited before hydraulic derivations."
"wv1500_<depth>","Level 1 raw soil","raw_soil","Volumetric soil water content at 1500 kPa suction.","10^-2 cm3 cm-3 raw SoilGrids scale","lon, lat","static","UFEED_get_soil_features","Depths: 0_5cm, 5_15cm, 15_30cm, 30_60cm, 60_100cm, 100_200cm. Hyphens are cleaned to underscores in output column names. Units/scaling should be audited before hydraulic derivations."
"Daily_Temp_Fluctuation","Level 2 daily derived","base_daily_derived","Daily temperature range calculated as T2M_MAX - T2M_MIN.","degree C","T2M_MAX, T2M_MIN","same-day only","UFEED_add_daily_temp_fluctuation",""
"ALLSKY_SFC_SW_DWN_y2d","Level 2 cumulative","cumsum_features","Season-to-date cumulative sum of ALLSKY_SFC_SW_DWN.","sum of source daily unit","ALLSKY_SFC_SW_DWN","backward-looking/current season",".UFEED_compute_cumsum_features","Present profile defaults include ALLSKY_SFC_SW_DWN and PRECTOTCORR only."
"ALLSKY_SFC_SW_DWN_dormant2d","Level 2 cumulative","cumsum_features","Dormant-season-to-date cumulative sum of ALLSKY_SFC_SW_DWN, capped after April 30.","sum of source daily unit","ALLSKY_SFC_SW_DWN","backward-looking/current dormant season",".UFEED_compute_cumsum_features","Southern Hemisphere dates are shifted internally by 183 days, then mapped back."
"ALLSKY_SFC_LW_DWN_y2d","Level 2 cumulative","cumsum_features","Season-to-date cumulative sum of ALLSKY_SFC_LW_DWN.","sum of source daily unit","ALLSKY_SFC_LW_DWN","backward-looking/current season",".UFEED_compute_cumsum_features","Present profile defaults include ALLSKY_SFC_SW_DWN and PRECTOTCORR only."
"ALLSKY_SFC_LW_DWN_dormant2d","Level 2 cumulative","cumsum_features","Dormant-season-to-date cumulative sum of ALLSKY_SFC_LW_DWN, capped after April 30.","sum of source daily unit","ALLSKY_SFC_LW_DWN","backward-looking/current dormant season",".UFEED_compute_cumsum_features","Southern Hemisphere dates are shifted internally by 183 days, then mapped back."
"ALLSKY_SFC_PAR_TOT_y2d","Level 2 cumulative","cumsum_features","Season-to-date cumulative sum of ALLSKY_SFC_PAR_TOT.","sum of source daily unit","ALLSKY_SFC_PAR_TOT","backward-looking/current season",".UFEED_compute_cumsum_features","Present profile defaults include ALLSKY_SFC_SW_DWN and PRECTOTCORR only."
"ALLSKY_SFC_PAR_TOT_dormant2d","Level 2 cumulative","cumsum_features","Dormant-season-to-date cumulative sum of ALLSKY_SFC_PAR_TOT, capped after April 30.","sum of source daily unit","ALLSKY_SFC_PAR_TOT","backward-looking/current dormant season",".UFEED_compute_cumsum_features","Southern Hemisphere dates are shifted internally by 183 days, then mapped back."
"PRECTOTCORR_y2d","Level 2 cumulative","cumsum_features","Season-to-date cumulative sum of PRECTOTCORR.","sum of source daily unit","PRECTOTCORR","backward-looking/current season",".UFEED_compute_cumsum_features","Present profile defaults include ALLSKY_SFC_SW_DWN and PRECTOTCORR only."
